rank,image,confidence,tp,fp,acc_tp,acc_fp,precision,recall
1,1536,0.999824,1,0,1,0,1.000000,0.001000
2,1693,0.999824,1,0,2,0,1.000000,0.002000
3,1394,0.999791,1,0,3,0,1.000000,0.003000
4,1444,0.999750,1,0,4,0,1.000000,0.004000
5,1169,0.999742,1,0,5,0,1.000000,0.005000
6,1111,0.999699,1,0,6,0,1.000000,0.006000
7,1119,0.999640,1,0,7,0,1.000000,0.007000
8,1522,0.999481,1,0,8,0,1.000000,0.008000
9,1804,0.999481,1,0,9,0,1.000000,0.009000
10,1289,0.999476,1,0,10,0,1.000000,0.010000
11,1733,0.999435,1,0,11,0,1.000000,0.011000
12,1796,0.999415,1,0,12,0,1.000000,0.012000
13,1030,0.999414,1,0,13,0,1.000000,0.013000
14,1473,0.999398,1,0,14,0,1.000000,0.014000
15,1043,0.999316,1,0,15,0,1.000000,0.015000
16,1806,0.999289,1,0,16,0,1.000000,0.016000
17,1604,0.999279,1,0,17,0,1.000000,0.017000
18,1682,0.999263,1,0,18,0,1.000000,0.018000
19,1426,0.999232,1,0,19,0,1.000000,0.019000
20,1472,0.999216,1,0,20,0,1.000000,0.020000
21,934,0.999194,1,0,21,0,1.000000,0.021000
22,1636,0.999150,1,0,22,0,1.000000,0.022000
23,1756,0.999138,1,0,23,0,1.000000,0.023000
24,1622,0.999108,1,0,24,0,1.000000,0.024000
25,1667,0.999099,1,0,25,0,1.000000,0.025000
26,1571,0.998984,1,0,26,0,1.000000,0.026000
27,1283,0.998953,1,0,27,0,1.000000,0.027000
28,1828,0.998895,1,0,28,0,1.000000,0.028000
29,1731,0.998830,1,0,29,0,1.000000,0.029000
30,1148,0.998824,1,0,30,0,1.000000,0.030000
31,1349,0.998822,1,0,31,0,1.000000,0.031000
32,1395,0.998813,1,0,32,0,1.000000,0.032000
33,1001,0.998808,1,0,33,0,1.000000,0.033000
34,1188,0.998797,1,0,34,0,1.000000,0.034000
35,1863,0.998762,1,0,35,0,1.000000,0.035000
36,1096,0.998737,1,0,36,0,1.000000,0.036000
37,1464,0.998724,1,0,37,0,1.000000,0.037000
38,1860,0.998708,1,0,38,0,1.000000,0.038000
39,1704,0.998694,1,0,39,0,1.000000,0.039000
40,1865,0.998649,1,0,40,0,1.000000,0.040000
41,1689,0.998639,1,0,41,0,1.000000,0.041000
42,1072,0.998638,1,0,42,0,1.000000,0.042000
43,1534,0.998612,1,0,43,0,1.000000,0.043000
44,1859,0.998594,1,0,44,0,1.000000,0.044000
45,1091,0.998585,1,0,45,0,1.000000,0.045000
46,1211,0.998566,1,0,46,0,1.000000,0.046000
47,1296,0.998546,1,0,47,0,1.000000,0.047000
48,1624,0.998533,1,0,48,0,1.000000,0.048000
49,1120,0.998475,1,0,49,0,1.000000,0.049000
50,1094,0.998449,1,0,50,0,1.000000,0.050000
51,1734,0.998404,1,0,51,0,1.000000,0.051000
52,1876,0.998403,1,0,52,0,1.000000,0.052000
53,1216,0.998296,1,0,53,0,1.000000,0.053000
54,1552,0.998250,1,0,54,0,1.000000,0.054000
55,1162,0.998229,1,0,55,0,1.000000,0.055000
56,1458,0.998224,1,0,56,0,1.000000,0.056000
57,1713,0.998189,1,0,57,0,1.000000,0.057000
58,1602,0.998171,1,0,58,0,1.000000,0.058000
59,1066,0.998158,1,0,59,0,1.000000,0.059000
60,1712,0.998141,1,0,60,0,1.000000,0.060000
61,1036,0.998113,1,0,61,0,1.000000,0.061000
62,1621,0.998094,1,0,62,0,1.000000,0.062000
63,1052,0.998045,1,0,63,0,1.000000,0.063000
64,1446,0.998037,1,0,64,0,1.000000,0.064000
65,1722,0.998030,1,0,65,0,1.000000,0.065000
66,1110,0.998013,1,0,66,0,1.000000,0.066000
67,1623,0.997972,1,0,67,0,1.000000,0.067000
68,1461,0.997972,1,0,68,0,1.000000,0.068000
69,1272,0.997970,1,0,69,0,1.000000,0.069000
70,1658,0.997934,1,0,70,0,1.000000,0.070000
71,1826,0.997901,1,0,71,0,1.000000,0.071000
72,1593,0.997886,1,0,72,0,1.000000,0.072000
73,1294,0.997811,1,0,73,0,1.000000,0.073000
74,1322,0.997798,1,0,74,0,1.000000,0.074000
75,1583,0.997773,1,0,75,0,1.000000,0.075000
76,1562,0.997744,1,0,76,0,1.000000,0.076000
77,1705,0.997711,1,0,77,0,1.000000,0.077000
78,1256,0.997676,1,0,78,0,1.000000,0.078000
