rank,image,confidence,tp,fp,acc_tp,acc_fp,precision,recall
1,1966,0.999867,1,0,1,0,1.000000,0.001000
2,2191,0.999667,1,0,2,0,1.000000,0.002000
3,2552,0.999656,1,0,3,0,1.000000,0.003000
4,1891,0.999503,1,0,4,0,1.000000,0.004000
5,1155,0.999500,0,1,4,1,0.800000,0.004000
6,2047,0.999391,1,0,5,1,0.833333,0.005000
7,2390,0.999292,1,0,6,1,0.857143,0.006000
8,2215,0.999170,1,0,7,1,0.875000,0.007000
9,1904,0.999154,1,0,8,1,0.888889,0.008000
10,1984,0.999118,0,1,8,2,0.800000,0.008000
11,1038,0.999087,0,1,8,3,0.727273,0.008000
12,2216,0.999072,0,1,8,4,0.666667,0.008000
13,1893,0.999070,1,0,9,4,0.692308,0.009000
14,1909,0.999045,1,0,10,4,0.714286,0.010000
15,2612,0.999044,1,0,11,4,0.733333,0.011000
16,2537,0.999026,1,0,12,4,0.750000,0.012000
17,2039,0.998981,1,0,13,4,0.764706,0.013000
18,1966,0.998957,0,1,13,5,0.722222,0.013000
19,2233,0.998950,1,0,14,5,0.736842,0.014000
20,1955,0.998917,1,0,15,5,0.750000,0.015000
21,2557,0.998899,0,1,15,6,0.714286,0.015000
22,2232,0.998883,1,0,16,6,0.727273,0.016000
23,1974,0.998846,0,1,16,7,0.695652,0.016000
24,2035,0.998836,1,0,17,7,0.708333,0.017000
25,1973,0.998832,1,0,18,7,0.720000,0.018000
26,2331,0.998824,1,0,19,7,0.730769,0.019000
27,2373,0.998798,1,0,20,7,0.740741,0.020000
28,1984,0.998748,1,0,21,7,0.750000,0.021000
29,2085,0.998726,0,1,21,8,0.724138,0.021000
30,2150,0.998708,1,0,22,8,0.733333,0.022000
31,2073,0.998693,1,0,23,8,0.741935,0.023000
32,2160,0.998691,1,0,24,8,0.750000,0.024000
33,2308,0.998669,1,0,25,8,0.757576,0.025000
34,2421,0.998625,1,0,26,8,0.764706,0.026000
35,2498,0.998623,1,0,27,8,0.771429,0.027000
36,2395,0.998619,1,0,28,8,0.777778,0.028000
37,2531,0.998615,1,0,29,8,0.783784,0.029000
38,2137,0.998558,1,0,30,8,0.789474,0.030000
39,2355,0.998547,1,0,31,8,0.794872,0.031000
40,2059,0.998534,1,0,32,8,0.800000,0.032000
41,2138,0.998471,1,0,33,8,0.804878,0.033000
42,2580,0.998428,1,0,34,8,0.809524,0.034000
43,2106,0.998343,1,0,35,8,0.813953,0.035000
44,2410,0.998331,1,0,36,8,0.818182,0.036000
45,2318,0.998282,1,0,37,8,0.822222,0.037000
46,2296,0.998230,1,0,38,8,0.826087,0.038000
47,2125,0.998227,1,0,39,8,0.829787,0.039000
48,2632,0.998186,1,0,40,8,0.833333,0.040000
49,1130,0.998171,0,1,40,9,0.816327,0.040000
50,1000,0.998123,0,1,40,10,0.800000,0.040000
51,2266,0.998097,1,0,41,10,0.803922,0.041000
52,2055,0.998094,1,0,42,10,0.807692,0.042000
53,2578,0.998086,1,0,43,10,0.811321,0.043000
54,2193,0.998071,1,0,44,10,0.814815,0.044000
55,2198,0.998047,1,0,45,10,0.818182,0.045000
56,2377,0.997998,1,0,46,10,0.821429,0.046000
57,2011,0.997988,1,0,47,10,0.824561,0.047000
58,2168,0.997979,1,0,48,10,0.827586,0.048000
59,2401,0.997977,1,0,49,10,0.830508,0.049000
60,1974,0.997960,1,0,50,10,0.833333,0.050000
61,2703,0.997902,1,0,51,10,0.836066,0.051000
62,2572,0.997898,0,1,51,11,0.822581,0.051000
63,1953,0.997837,1,0,52,11,0.825397,0.052000
64,2194,0.997809,1,0,53,11,0.828125,0.053000
65,1846,0.997782,0,1,53,12,0.815385,0.053000
66,2072,0.997746,1,0,54,12,0.818182,0.054000
67,1913,0.997737,1,0,55,12,0.820896,0.055000
68,2244,0.997733,1,0,56,12,0.823529,0.056000
69,2124,0.997730,1,0,57,12,0.826087,0.057000
70,2056,0.997711,0,1,57,13,0.814286,0.057000
71,2208,0.997710,1,0,58,13,0.816901,0.058000
72,1961,0.997703,1,0,59,13,0.819444,0.059000
73,2173,0.997626,1,0,60,13,0.821918,0.060000
74,2365,0.997610,1,0,61,13,0.824324,0.061000
75,1991,0.997600,1,0,62,13,0.826667,0.062000
76,2317,0.997558,1,0,63,13,0.828947,0.063000
77,2156,0.997516,1,0,64,13,0.831169,0.064000
78,2641,0.997502,1,0,65,13,0.833333,0.065000
79,2463,0.997498,1,0,66,13,0.835443,0.066000
80,2195,0.997478,1,0,67,13,0.837500,0.067000
81,1892,0.997473,1,0,68,13,0.839506,0.068000
82,2144,0.997435,1,0,69,13,0.841463,0.069000
83,2030,0.997432,1,0,70,13,0.843373,0.070000
84,2372,0.997400,1,0,71,13,0.845238,0.071000
85,2490,0.997374,1,0,72,13,0.847059,0.072000
86,2006,0.997363,1,0,73,13,0.848837,0.073000
87,2212,0.997359,1,0,74,13,0.850575,0.074000
88,2003,0.997345,1,0,75,13,0.852273,0.075000
89,2291,0.997308,1,0,76,13,0.853933,0.076000
90,2543,0.997289,1,0,77,13,0.855556,0.077000
91,2213,0.997218,1,0,78,13,0.857143,0.078000
92,2009,0.997212,1,0,79,13,0.858696,0.079000
93,2123,0.997175,1,0,80,13,0.860215,0.080000
94,2141,0.997174,1,0,81,13,0.861702,0.081000
95,2411,0.997092,1,0,82,13,0.863158,0.082000
96,2634,0.997053,1,0,83,13,0.864583,0.083000
97,1926,0.997051,1,0,84,13,0.865979,0.084000
98,2399,0.997041,1,0,85,13,0.867347,0.085000
99,1979,0.997032,1,0,86,13,0.868687,0.086000
100,2575,0.997005,1,0,87,13,0.870000,0.087000
101,2346,0.996979,1,0,88,13,0.871287,0.088000
102,2051,0.996975,1,0,89,13,0.872549,0.089000
103,1893,0.996949,0,1,89,14,0.864078,0.089000
104,2222,0.996901,1,0,90,14,0.865385,0.090000
105,2523,0.996886,1,0,91,14,0.866667,0.091000
106,1897,0.996820,1,0,92,14,0.867925,0.092000
107,2636,0.996805,1,0,93,14,0.869159,0.093000
