rank,image,confidence,tp,fp,acc_tp,acc_fp,precision,recall
1,1583,0.999890,1,0,1,0,1.000000,0.001000
2,1604,0.999806,1,0,2,0,1.000000,0.002000
3,1169,0.999791,1,0,3,0,1.000000,0.003000
4,1756,0.999748,1,0,4,0,1.000000,0.004000
5,1636,0.999711,1,0,5,0,1.000000,0.005000
6,1305,0.999693,1,0,6,0,1.000000,0.006000
7,1571,0.999677,1,0,7,0,1.000000,0.007000
8,1444,0.999671,1,0,8,0,1.000000,0.008000
9,1852,0.999665,1,0,9,0,1.000000,0.009000
10,1620,0.999658,1,0,10,0,1.000000,0.010000
11,1294,0.999652,1,0,11,0,1.000000,0.011000
12,1119,0.999637,1,0,12,0,1.000000,0.012000
13,1289,0.999632,1,0,13,0,1.000000,0.013000
14,1383,0.999607,1,0,14,0,1.000000,0.014000
15,1638,0.999591,1,0,15,0,1.000000,0.015000
16,1043,0.999575,1,0,16,0,1.000000,0.016000
17,1826,0.999573,1,0,17,0,1.000000,0.017000
18,991,0.999561,1,0,18,0,1.000000,0.018000
19,1759,0.999559,1,0,19,0,1.000000,0.019000
20,1762,0.999532,1,0,20,0,1.000000,0.020000
21,1693,0.999481,1,0,21,0,1.000000,0.021000
22,1806,0.999480,1,0,22,0,1.000000,0.022000
23,1875,0.999480,1,0,23,0,1.000000,0.023000
24,1472,0.999477,1,0,24,0,1.000000,0.024000
25,1015,0.999453,1,0,25,0,1.000000,0.025000
26,1283,0.999446,1,0,26,0,1.000000,0.026000
27,1865,0.999443,1,0,27,0,1.000000,0.027000
28,1288,0.999442,1,0,28,0,1.000000,0.028000
29,1446,0.999430,1,0,29,0,1.000000,0.029000
30,1868,0.999400,1,0,30,0,1.000000,0.030000
31,1523,0.999369,1,0,31,0,1.000000,0.031000
32,2009,0.999358,0,1,31,1,0.968750,0.031000
33,1306,0.999348,1,0,32,1,0.969697,0.032000
34,1876,0.999327,1,0,33,1,0.970588,0.033000
35,1804,0.999314,1,0,34,1,0.971429,0.034000
36,1349,0.999311,1,0,35,1,0.972222,0.035000
37,1473,0.999297,1,0,36,1,0.972973,0.036000
38,1654,0.999281,1,0,37,1,0.973684,0.037000
39,1051,0.999246,1,0,38,1,0.974359,0.038000
40,1392,0.999204,1,0,39,1,0.975000,0.039000
41,1277,0.999176,1,0,40,1,0.975610,0.040000
42,1623,0.999175,1,0,41,1,0.976190,0.041000
43,1569,0.999148,1,0,42,1,0.976744,0.042000
