rank,image,confidence,tp,fp,acc_tp,acc_fp,precision,recall
1,71,0.999992,1,0,1,0,1.000000,0.001000
2,503,0.999988,1,0,2,0,1.000000,0.002000
3,328,0.999987,1,0,3,0,1.000000,0.003000
4,736,0.999985,1,0,4,0,1.000000,0.004000
5,367,0.999984,1,0,5,0,1.000000,0.005000
6,922,0.999984,1,0,6,0,1.000000,0.006000
7,578,0.999983,1,0,7,0,1.000000,0.007000
8,396,0.999982,1,0,8,0,1.000000,0.008000
9,611,0.999982,1,0,9,0,1.000000,0.009000
10,924,0.999981,1,0,10,0,1.000000,0.010000
11,656,0.999980,1,0,11,0,1.000000,0.011000
12,181,0.999977,1,0,12,0,1.000000,0.012000
13,331,0.999977,1,0,13,0,1.000000,0.013000
14,377,0.999975,1,0,14,0,1.000000,0.014000
15,794,0.999974,1,0,15,0,1.000000,0.015000
16,392,0.999973,1,0,16,0,1.000000,0.016000
17,439,0.999973,1,0,17,0,1.000000,0.017000
18,923,0.999970,1,0,18,0,1.000000,0.018000
19,858,0.999970,1,0,19,0,1.000000,0.019000
20,774,0.999970,1,0,20,0,1.000000,0.020000
21,807,0.999969,1,0,21,0,1.000000,0.021000
22,497,0.999969,1,0,22,0,1.000000,0.022000
23,678,0.999969,1,0,23,0,1.000000,0.023000
24,912,0.999968,1,0,24,0,1.000000,0.024000
25,799,0.999963,0,1,24,1,0.960000,0.024000
26,238,0.999963,1,0,25,1,0.961538,0.025000
27,355,0.999962,1,0,26,1,0.962963,0.026000
28,679,0.999959,1,0,27,1,0.964286,0.027000
29,438,0.999959,1,0,28,1,0.965517,0.028000
30,929,0.999959,1,0,29,1,0.966667,0.029000
31,840,0.999958,1,0,30,1,0.967742,0.030000
32,357,0.999958,1,0,31,1,0.968750,0.031000
33,211,0.999957,1,0,32,1,0.969697,0.032000
34,749,0.999957,1,0,33,1,0.970588,0.033000
35,371,0.999956,1,0,34,1,0.971429,0.034000
36,474,0.999955,1,0,35,1,0.972222,0.035000
37,671,0.999954,1,0,36,1,0.972973,0.036000
38,44,0.999953,1,0,37,1,0.973684,0.037000
39,868,0.999953,1,0,38,1,0.974359,0.038000
40,640,0.999951,1,0,39,1,0.975000,0.039000
41,252,0.999949,1,0,40,1,0.975610,0.040000
42,108,0.999949,1,0,41,1,0.976190,0.041000
43,930,0.999946,1,0,42,1,0.976744,0.042000
44,88,0.999946,1,0,43,1,0.977273,0.043000
45,249,0.999945,1,0,44,1,0.977778,0.044000
46,84,0.999944,1,0,45,1,0.978261,0.045000
47,332,0.999943,1,0,46,1,0.978723,0.046000
48,502,0.999936,1,0,47,1,0.979167,0.047000
49,825,0.999934,1,0,48,1,0.979592,0.048000
50,455,0.999933,1,0,49,1,0.980000,0.049000
51,499,0.999931,1,0,50,1,0.980392,0.050000
52,614,0.999930,1,0,51,1,0.980769,0.051000
53,130,0.999929,1,0,52,1,0.981132,0.052000
54,131,0.999929,1,0,53,1,0.981481,0.053000
55,386,0.999927,1,0,54,1,0.981818,0.054000
56,512,0.999922,1,0,55,1,0.982143,0.055000
57,715,0.999921,0,1,55,2,0.964912,0.055000
58,605,0.999920,1,0,56,2,0.965517,0.056000
59,882,0.999920,1,0,57,2,0.966102,0.057000
60,933,0.999919,1,0,58,2,0.966667,0.058000
61,358,0.999919,1,0,59,2,0.967213,0.059000
62,75,0.999919,1,0,60,2,0.967742,0.060000
63,12,0.999918,1,0,61,2,0.968254,0.061000
64,303,0.999918,1,0,62,2,0.968750,0.062000
65,795,0.999917,1,0,63,2,0.969231,0.063000
66,341,0.999917,1,0,64,2,0.969697,0.064000
67,798,0.999916,1,0,65,2,0.970149,0.065000
68,64,0.999915,1,0,66,2,0.970588,0.066000
69,428,0.999913,1,0,67,2,0.971014,0.067000
70,15,0.999912,1,0,68,2,0.971429,0.068000
71,125,0.999912,1,0,69,2,0.971831,0.069000
72,511,0.999912,1,0,70,2,0.972222,0.070000
73,775,0.999911,1,0,71,2,0.972603,0.071000
74,561,0.999910,1,0,72,2,0.972973,0.072000
75,94,0.999909,1,0,73,2,0.973333,0.073000
76,251,0.999909,1,0,74,2,0.973684,0.074000
77,800,0.999907,1,0,75,2,0.974026,0.075000
78,27,0.999905,1,0,76,2,0.974359,0.076000
79,500,0.999905,1,0,77,2,0.974684,0.077000
80,378,0.999905,1,0,78,2,0.975000,0.078000
81,691,0.999905,1,0,79,2,0.975309,0.079000
82,382,0.999904,1,0,80,2,0.975610,0.080000
83,741,0.999903,1,0,81,2,0.975904,0.081000
84,818,0.999903,1,0,82,2,0.976190,0.082000
85,314,0.999902,1,0,83,2,0.976471,0.083000
86,488,0.999902,1,0,84,2,0.976744,0.084000
87,866,0.999901,1,0,85,2,0.977011,0.085000
88,65,0.999898,1,0,86,2,0.977273,0.086000
89,660,0.999898,1,0,87,2,0.977528,0.087000
90,591,0.999896,1,0,88,2,0.977778,0.088000
91,412,0.999895,1,0,89,2,0.978022,0.089000
92,674,0.999895,1,0,90,2,0.978261,0.090000
93,796,0.999891,1,0,91,2,0.978495,0.091000
